game,Console,TotalSales,Publisher,genre,Releasedate,urlimg,urlgame
The Longest 5 Minutes,NS,0.03,NIS America,Action,13 Feb 18,https://www.vgchartz.com/games/boxart/full_6633652AmericaFrontccc.jpg,https://www.vgchartz.com/game/220658/the-longest-5-minutes/?region=All
Yonder: The Cloud Catcher Chronicles,NS,0.03,Merge Games,Action,12 Jun 18,https://www.vgchartz.com/games/boxart/full_2310315AmericaFrontccc.jpg,https://www.vgchartz.com/game/221371/yonder-the-cloud-catcher-chronicles/?region=All
88 Heroes: 98 Heroes Edition,NS,0.02,Rising Star Games,Action,10 Oct 17,https://www.vgchartz.com/games/boxart/full_8424487AmericaFrontccc.jpg,https://www.vgchartz.com/game/209870/88-heroes-98-heroes-edition/?region=All
Super Run For Money Tousouchuu & Sentouchuu,NS,0.02,Bandai Namco Games,Action,29 Nov 18,https://www.vgchartz.com/games/boxart/full_3220480JapanFrontccc.jpg,https://www.vgchartz.com/game/223315/super-run-for-money-tousouchuu-amp-sentouchuu/?region=All
Shaq-Fu: A Legend Reborn,NS,0.02,Wired Productions,Action,05 Jun 18,https://www.vgchartz.com/games/boxart/full_557258AmericaFrontccc.jpg,https://www.vgchartz.com/game/221232/shaq-fu-a-legend-reborn/?region=All
Unbox: Newbie's Adventure,NS,0.01,Merge Games,Action,01 Nov 17,https://www.vgchartz.com/games/boxart/full_3683639AmericaFrontccc.jpg,https://www.vgchartz.com/game/193788/unbox-newbies-adventure/?region=All
Titan Quest,NS,0.01,THQ Nordic,Action,31 Jul 18,https://www.vgchartz.com/games/boxart/full_1900857PALFrontccc.jpg,https://www.vgchartz.com/game/220234/titan-quest/?region=All
Nari Kids Park: Hugtto! PreCure,NS,0.01,Bandai Namco Games,Action,21 Nov 18,https://www.vgchartz.com/games/boxart/full_8659688JapanFrontccc.jpg,https://www.vgchartz.com/game/223226/nari-kids-park-hugtto-precure/?region=All
Warriors Orochi 3,NS,0.01,Tecmo Koei,Action,09 Nov 17,https://www.vgchartz.com/games/boxart/full_432329JapanFrontccc.jpg,https://www.vgchartz.com/game/220116/warriors-orochi-3/?region=All
Yoku's Island Express,NS,0.01,Villa Gorilla,Action,19 Jun 18,https://www.vgchartz.com/games/boxart/full_9405561AmericaFrontccc.jpg,https://www.vgchartz.com/game/221225/yokus-island-express/?region=All
