game,Console,TotalSales,Publisher,genre,Releasedate,urlimg,urlgame
Darksiders: Warmastered Edition,PS4,0.11,THQ Nordic,Action-Adventure,22 Nov 16,https://www.vgchartz.com/games/boxart/full_5188430AmericaFrontccc.jpg,https://www.vgchartz.com/game/132803/darksiders-warmastered-edition/?region=All
Starlink: Battle for Atlas,PS4,0.10,Ubisoft,Action-Adventure,16 Oct 18,https://www.vgchartz.com/games/boxart/full_3834985AmericaFrontccc.jpg,https://www.vgchartz.com/game/222159/starlink-battle-for-atlas/?region=All
Resident Evil 4,PS4,0.10,Capcom,Action-Adventure,30 Aug 16,https://www.vgchartz.com/games/boxart/full_2648805AmericaFrontccc.jpg,https://www.vgchartz.com/game/120131/resident-evil-4/?region=All
City Shrouded in Shadow,PS4,0.07,Namco Bandai Games,Action-Adventure,19 Oct 17,https://www.vgchartz.com/games/boxart/full_5590716JapanFrontccc.png,https://www.vgchartz.com/game/215343/city-shrouded-in-shadow/?region=All
Disaster Report 4 Plus: Summer Memories,PS4,0.05,NIS America,Action-Adventure,07 Apr 20,https://www.vgchartz.com/games/boxart/full_5683622JapanFrontccc.jpg,https://www.vgchartz.com/game/223225/disaster-report-4-plus-summer-memories/?region=All
Yakuza 3,PS4,0.05,Sega,Action-Adventure,09 Aug 18,https://www.vgchartz.com/games/boxart/full_2344710JapanFrontccc.jpg,https://www.vgchartz.com/game/222679/yakuza-3/?region=All
Hellblade: Senua's Sacrifice,PS4,0.05,505 Games,Action-Adventure,04 Dec 18,https://www.vgchartz.com/games/boxart/full_9879544AmericaFrontccc.jpg,https://www.vgchartz.com/game/84096/hellblade-senuas-sacrifice/?region=All
Earthfall,PS4,0.04,Gearbox Software,Action-Adventure,13 Jul 18,https://www.vgchartz.com/games/boxart/full_753382AmericaFrontccc.jpg,https://www.vgchartz.com/game/222004/earthfall/?region=All
Assassin's Creed Chronicles: China,PS4,0.04,Ubisoft,Action-Adventure,21 Apr 15,https://www.vgchartz.com/games/boxart/full_7103447PALFrontccc.jpg,https://www.vgchartz.com/game/84602/assassins-creed-chronicles-china/?region=All
Asterix and Obelix XXL2,PS4,0.04,Microids,Action-Adventure,29 Nov 18,https://www.vgchartz.com/games/boxart/full_2936465PALFrontccc.jpg,https://www.vgchartz.com/game/222618/asterix-and-obelix-xxl2/?region=All
Hotel Transylvania 3: Monsters Overboard,PS4,0.04,Outright Games,Action-Adventure,10 Jul 18,https://www.vgchartz.com/games/boxart/full_798746AmericaFrontccc.jpg,https://www.vgchartz.com/game/222050/hotel-transylvania-3-monsters-overboard/?region=All
The Persistence,PS4,0.04,Sony Interactive Entertainment,Action-Adventure,24 Jul 18,https://www.vgchartz.com/games/boxart/full_2710313AmericaFrontccc.jpg,https://www.vgchartz.com/game/222399/the-persistence/?region=All
Override: Mech City Brawl,PS4,0.03,Modus Games,Action-Adventure,04 Dec 18,https://www.vgchartz.com/games/boxart/full_2846132AmericaFrontccc.jpg,https://www.vgchartz.com/game/222350/override-mech-city-brawl/?region=All
Beast Quest,PS4,0.03,Maximum Games,Action-Adventure,13 Mar 18,https://www.vgchartz.com/games/boxart/full_9984484AmericaFrontccc.jpg,https://www.vgchartz.com/game/220588/beast-quest/?region=All
Record of Grancrest War,PS4,0.03,Bandai Namco Games,Action-Adventure,14 Jun 18,https://www.vgchartz.com/games/boxart/full_9811860JapanFrontccc.jpg,https://www.vgchartz.com/game/222239/record-of-grancrest-war/?region=All
Onimusha: Warlords,PS4,0.03,Capcom,Action-Adventure,15 Jan 19,https://www.vgchartz.com/games/boxart/full_4251782AmericaFrontccc.jpg,https://www.vgchartz.com/game/223267/onimusha-warlords/?region=All
Agony,PS4,0.03,Maximum Games,Action-Adventure,29 May 18,https://www.vgchartz.com/games/boxart/full_7718669AmericaFrontccc.jpg,https://www.vgchartz.com/game/221944/agony/?region=All
