game,Console,TotalSales,Publisher,genre,Releasedate,urlimg,urlgame
Dynasty Warriors 8: Empires,XOne,0.07,Tecmo Koei,Action,24 Jan 15,https://www.vgchartz.com/games/boxart/full_4096201AmericaFrontccc.jpg,https://www.vgchartz.com/game/83443/dynasty-warriors-8-empires/?region=All
Ghostbusters (2016),XOne,0.07,Activision,Action,12 Jul 16,https://www.vgchartz.com/games/boxart/full_4859550AmericaFrontccc.jpg,https://www.vgchartz.com/game/105040/ghostbusters-2016/?region=All
Adventure Time: Finn & Jake Investigations,XOne,0.06,Little Orbit,Action,20 Oct 15,https://www.vgchartz.com/games/boxart/full_8075055PALFrontccc.jpg,https://www.vgchartz.com/game/85405/adventure-time-finn-amp-jake-investigations/?region=All
Cartoon Network Battle Crashers,XOne,0.06,GameMill,Action,08 Nov 16,https://www.vgchartz.com/games/boxart/full_8178642AmericaFrontccc.jpg,https://www.vgchartz.com/game/143038/cartoon-network-battle-crashers/?region=All
Okami HD,XOne,0.06,Capcom,Action,12 Dec 17,https://www.vgchartz.com/games/boxart/full_550192AmericaFrontccc.jpg,https://www.vgchartz.com/game/203192/okami-hd/?region=All
Arslan: The Warriors of Legend,XOne,0.06,Tecmo Koei,Action,09 Feb 16,https://www.vgchartz.com/games/boxart/full_5474AmericaFrontccc.jpg,https://www.vgchartz.com/game/85817/arslan-the-warriors-of-legend/?region=All
Styx: Shards of Darkness,XOne,0.06,Focus Home Interactive,Action,14 Mar 17,https://www.vgchartz.com/games/boxart/full_2594030PALFrontccc.jpg,https://www.vgchartz.com/game/120417/styx-shards-of-darkness/?region=All
Has-Been Heroes,XOne,0.05,GameTrust,Action,28 Mar 17,https://www.vgchartz.com/games/boxart/full_848756AmericaFrontccc.jpg,https://www.vgchartz.com/game/154977/has-been-heroes/?region=All
Deformers,XOne,0.05,Ready at Dawn,Action,21 Apr 17,https://www.vgchartz.com/games/boxart/full_5160794AmericaFrontccc.jpg,https://www.vgchartz.com/game/157500/deformers/?region=All
Extinction,XOne,0.05,Maximum Games,Action,10 Apr 18,https://www.vgchartz.com/games/boxart/full_1806056AmericaFrontccc.jpg,https://www.vgchartz.com/game/179409/extinction/?region=All
Devil May Cry HD Collection,XOne,0.04,Capcom,Action,13 Mar 18,https://www.vgchartz.com/games/boxart/full_2162002AmericaFrontccc.jpg,https://www.vgchartz.com/game/220928/devil-may-cry-hd-collection/?region=All
Overcooked,XOne,0.04,Sold Out,Action,15 Nov 16,https://www.vgchartz.com/games/boxart/full_6026438AmericaFrontccc.jpg,https://www.vgchartz.com/game/144555/overcooked/?region=All
Resident Evil 5,XOne,0.04,Capcom,Action,12 Jul 16,https://www.vgchartz.com/games/boxart/full_5612658AmericaFrontccc.jpg,https://www.vgchartz.com/game/120129/resident-evil-5/?region=All
Terraria,XOne,0.04,505 Games,Action,02 Dec 14,https://www.vgchartz.com/games/boxart/full_4516669AmericaFrontccc.jpg,https://www.vgchartz.com/game/84814/terraria/?region=All
Dark Souls Trilogy,XOne,0.04,Namco Bandai,Action,19 Oct 18,https://www.vgchartz.com/games/boxart/full_7103383AmericaFrontccc.jpg,https://www.vgchartz.com/game/222668/dark-souls-trilogy/?region=All
Dead Rising 2,XOne,0.04,Capcom,Action,27 Sep 16,https://www.vgchartz.com/games/boxart/full_8518299AmericaFrontccc.jpg,https://www.vgchartz.com/game/130880/dead-rising-2/?region=All
Warriors Orochi 3,XOne,0.04,Tecmo Koei,Action,02 Sep 14,https://www.vgchartz.com/games/boxart/full_4144165PALFrontccc.jpg,https://www.vgchartz.com/game/83339/warriors-orochi-3/?region=All
Dead Rising,XOne,0.04,Capcom,Action,13 Sep 16,https://www.vgchartz.com/games/boxart/full_6792812AmericaFrontccc.jpeg,https://www.vgchartz.com/game/130879/dead-rising/?region=All
Sine Mora EX,XOne,0.04,THQ Nordic,Action,08 Aug 17,https://www.vgchartz.com/games/boxart/full_2176069AmericaFrontccc.jpg,https://www.vgchartz.com/game/178956/sine-mora-ex/?region=All
Warriors  Orochi 4,XOne,0.04,Koei Tecmo,Action,16 Oct 18,https://www.vgchartz.com/games/boxart/full_8992245AmericaFrontccc.jpg,https://www.vgchartz.com/game/221969/warriors-orochi-4/?region=All
Carmageddon: Max Damage,XOne,0.03,Stainless Games,Action,01 Jan 17,https://www.vgchartz.com/games/boxart/full_4848705AmericaFrontccc.jpg,https://www.vgchartz.com/game/89533/carmageddon-max-damage/?region=All
Warhammer: The End Times - Vermintide,XOne,0.03,Games Workshop,Action,04 Oct 16,https://www.vgchartz.com/games/boxart/full_9387602AmericaFrontccc.jpg,https://www.vgchartz.com/game/85134/warhammer-the-end-times-vermintide/?region=All
Ben 10 (2017),XOne,0.03,Outright Games,Action,14 Nov 17,https://www.vgchartz.com/games/boxart/full_7465723AmericaFrontccc.jpg,https://www.vgchartz.com/game/208600/ben-10-2017/?region=All
Pharaonic,XOne,0.02,Soedesco,Action,29 Sep 17,https://www.vgchartz.com/games/boxart/full_7572611AmericaFrontccc.jpg,https://www.vgchartz.com/game/212040/pharaonic/?region=All
Titan Quest,XOne,0.02,THQ Nordic,Action,20 Mar 18,https://www.vgchartz.com/games/boxart/full_9176583AmericaFrontccc.jpg,https://www.vgchartz.com/game/220235/titan-quest/?region=All
Geometry Wars 3: Dimensions Evolved,XOne,0.02,Activision,Action,11 Oct 16,https://www.vgchartz.com/games/boxart/full_5270387AmericaFrontccc.jpg,https://www.vgchartz.com/game/137639/geometry-wars-3-dimensions-evolved/?region=All
Resident Evil: Revelations,XOne,0.02,Capcom,Action,29 Aug 17,https://www.vgchartz.com/games/boxart/full_528028AmericaFrontccc.jpg,https://www.vgchartz.com/game/166960/resident-evil-revelations/?region=All
Troll and I,XOne,0.02,Maximum Games,Action,21 Mar 17,https://www.vgchartz.com/games/boxart/full_2515514AmericaFrontccc.jpg,https://www.vgchartz.com/game/159119/troll-and-i/?region=All
Past Cure,XOne,0.02,Phantom 8 Studio,Action,23 Feb 18,https://www.vgchartz.com/games/boxart/full_1936148AmericaFrontccc.jpg,https://www.vgchartz.com/game/220593/past-cure/?region=All
Shaq-Fu: A Legend Reborn,XOne,0.02,Wired Productions,Action,05 Jun 18,https://www.vgchartz.com/games/boxart/full_9081945AmericaFrontccc.jpg,https://www.vgchartz.com/game/82008/shaq-fu-a-legend-reborn/?region=All
Saints Row: Gat out of Hell,XOne,0.02,Deep Silver,Action,20 Jan 15,https://www.vgchartz.com/games/boxart/full_6544546AmericaFrontccc.jpg,https://www.vgchartz.com/game/84854/saints-row-gat-out-of-hell/?region=All
Mega Man Legacy Collection 2,XOne,0.02,Capcom,Action,08 Aug 17,https://www.vgchartz.com/games/boxart/full_5502885AmericaFrontccc.jpg,https://www.vgchartz.com/game/181510/mega-man-legacy-collection-2/?region=All
"Warhammer 40,000: Inquisitor - Martyr",XOne,0.02,Neocore Games,Action,28 Aug 18,https://www.vgchartz.com/games/boxart/full_2868894AmericaFrontccc.jpg,https://www.vgchartz.com/game/221488/warhammer-40000-inquisitor-martyr/?region=All
Vikings: Wolves of Midgard,XOne,0.02,Kalypso Media,Action,28 Mar 17,https://www.vgchartz.com/games/boxart/full_8459094AmericaFrontccc.jpg,https://www.vgchartz.com/game/158306/vikings-wolves-of-midgard/?region=All
Yoku's Island Express,XOne,0.02,Villa Gorilla,Action,19 Jun 18,https://www.vgchartz.com/games/boxart/full_5488897AmericaFrontccc.jpg,https://www.vgchartz.com/game/221226/yokus-island-express/?region=All
Assassin's Creed Chronicles,XOne,0.01,Ubisoft,Action,09 Feb 16,https://www.vgchartz.com/games/boxart/full_5434204AmericaFrontccc.jpg,https://www.vgchartz.com/game/86357/assassins-creed-chronicles/?region=All
Zombi,XOne,0.01,Ubisoft,Action,21 Jan 16,https://www.vgchartz.com/games/boxart/full_3515976PALFrontccc.jpg,https://www.vgchartz.com/game/85822/zombi/?region=All
This War of Mine,XOne,0.01,11 bit studios,Action,29 Jan 16,https://www.vgchartz.com/games/boxart/full_4112959AmericaFrontccc.jpg,https://www.vgchartz.com/game/86137/this-war-of-mine/?region=All
Red Dead Redemption 2,XOne,5.77,Rockstar Games,Action-Adventure,26 Oct 18,https://www.vgchartz.com/games/boxart/full_1425733AmericaFrontccc.jpg,https://www.vgchartz.com/game/140684/red-dead-redemption-2/?region=All
Watch Dogs,XOne,1.64,Ubisoft,Action-Adventure,27 May 14,https://www.vgchartz.com/games/boxart/full_7106511AmericaFrontccc.jpg,https://www.vgchartz.com/game/72078/watch-dogs/?region=All
ARK: Survival Evolved,XOne,1.50,Studio Wildcard,Action-Adventure,29 Aug 17,https://www.vgchartz.com/games/boxart/full_962987AmericaFrontccc.png,https://www.vgchartz.com/game/182657/ark-survival-evolved/?region=All
Assassin's Creed Odyssey,XOne,1.39,Ubisoft,Action-Adventure,05 Oct 18,https://www.vgchartz.com/games/boxart/full_4256270AmericaFrontccc.jpg,https://www.vgchartz.com/game/222150/assassins-creed-odyssey/?region=All
Mafia III,XOne,1.11,2K Games,Action-Adventure,07 Oct 16,https://www.vgchartz.com/games/boxart/full_1341518AmericaFrontccc.jpg,https://www.vgchartz.com/game/85865/mafia-iii/?region=All
Just Cause 3,XOne,1.01,Square Enix,Action-Adventure,01 Dec 15,https://www.vgchartz.com/games/boxart/full_4923586AmericaFrontccc.jpg,https://www.vgchartz.com/game/84820/just-cause-3/?region=All
Far Cry: Primal,XOne,1.00,Ubisoft,Action-Adventure,23 Feb 16,https://www.vgchartz.com/games/boxart/full_2048466AmericaFrontccc.jpg,https://www.vgchartz.com/game/85945/far-cry-primal/?region=All
Sea of Thieves,XOne,0.96,Microsoft Studios,Action-Adventure,20 Mar 18,https://www.vgchartz.com/games/boxart/full_3235437AmericaFrontccc.jpg,https://www.vgchartz.com/game/85754/sea-of-thieves/?region=All
Dead Rising 4,XOne,0.87,Microsoft Studios,Action-Adventure,06 Dec 16,https://www.vgchartz.com/games/boxart/full_7990936AmericaFrontccc.png,https://www.vgchartz.com/game/119327/dead-rising-4/?region=All
Shadow of the Tomb Raider,XOne,0.78,Square Enix,Action-Adventure,14 Sep 18,https://www.vgchartz.com/games/boxart/full_5980403AmericaFrontccc.jpg,https://www.vgchartz.com/game/221358/shadow-of-the-tomb-raider/?region=All
Tomb Raider: Definitive Edition,XOne,0.66,Square Enix,Action-Adventure,28 Jan 14,https://www.vgchartz.com/games/boxart/full_539460AmericaFrontccc.jpg,https://www.vgchartz.com/game/78260/tomb-raider-definitive-edition/?region=All
The LEGO Movie Videogame,XOne,0.65,Warner Bros. Interactive Entertainment,Action-Adventure,07 Feb 14,https://www.vgchartz.com/games/boxart/full_9682200AmericaFrontccc.jpg,https://www.vgchartz.com/game/74476/the-lego-movie-videogame/?region=All
Disney Infinity 2.0: Marvel Super Heroes,XOne,0.55,Disney Interactive Studios,Action-Adventure,23 Sep 14,https://www.vgchartz.com/games/boxart/full_34107AmericaFrontccc.jpg,https://www.vgchartz.com/game/81779/disney-infinity-20-marvel-super-heroes/?region=All
Lego Star Wars: The Force Awakens,XOne,0.50,Warner Bros. Interactive Entertainment,Action-Adventure,28 Jun 16,https://www.vgchartz.com/games/boxart/full_1378952AmericaFrontccc.jpg,https://www.vgchartz.com/game/86461/lego-star-wars-the-force-awakens/?region=All
State of Decay 2,XOne,0.46,Microsoft Studios,Action-Adventure,22 May 18,https://www.vgchartz.com/games/boxart/full_8737952AmericaFrontccc.png,https://www.vgchartz.com/game/220164/state-of-decay-2/?region=All
Skylanders: SuperChargers,XOne,0.40,Activision,Action-Adventure,20 Sep 15,https://www.vgchartz.com/games/boxart/full_2264264AmericaFrontccc.jpg,https://www.vgchartz.com/game/85612/skylanders-superchargers/?region=All
LEGO DC Super-Villains,XOne,0.30,Warner Bros. Interactive Entertainment,Action-Adventure,16 Oct 18,https://www.vgchartz.com/games/boxart/full_2135846AmericaFrontccc.jpg,https://www.vgchartz.com/game/222042/lego-dc-super-villains/?region=All
Just Cause 4,XOne,0.29,Square Enix,Action-Adventure,04 Dec 18,https://www.vgchartz.com/games/boxart/full_9714636AmericaFrontccc.jpg,https://www.vgchartz.com/game/222142/just-cause-4/?region=All
LEGO The Hobbit,XOne,0.27,Warner Bros. Interactive Entertainment,Action-Adventure,08 Apr 14,https://www.vgchartz.com/games/boxart/full_8142576AmericaFrontccc.jpg,https://www.vgchartz.com/game/78952/lego-the-hobbit/?region=All
Metal Gear Solid V: Ground Zeroes,XOne,0.27,Konami Digital Entertainment,Action-Adventure,18 Mar 14,https://www.vgchartz.com/games/boxart/full_3208958AmericaFrontccc.jpg,https://www.vgchartz.com/game/78259/metal-gear-solid-v-ground-zeroes/?region=All
